layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5026737967914439,0.0,0.0,0.3200373649597168,-0.405367910861969
1,0.5187165775401069,0.31828951835632324,0.12172138690948486,0.7254446148872375,-0.166653573513031
2,0.5294117647058824,0.23799218237400055,0.21121081709861755,0.7757896780967712,-0.41810908913612366
3,0.5294117647058824,0.1957762986421585,0.3259313404560089,0.775966465473175,-0.18071334064006805
4,0.5133689839572193,0.1287103146314621,0.04414353892207146,0.7828834056854248,-0.1383771449327469
5,0.5080213903743316,0.11688629537820816,0.0589924156665802,0.7399491667747498,-0.10904539376497269
6,0.625668449197861,0.15636366605758667,0.11843372136354446,0.36048653721809387,-0.45435962080955505
7,0.625668449197861,0.19358788430690765,0.07615217566490173,0.3605060875415802,-0.5154004096984863
8,0.6310160427807487,0.1826554536819458,0.10505712032318115,0.37610024213790894,-0.41269582509994507
9,0.625668449197861,0.16944430768489838,0.08245688676834106,0.36176422238349915,-0.3985253572463989
10,0.6310160427807486,0.1687193512916565,0.1385539472103119,0.3526362180709839,-0.05433135852217674
11,0.8663101604278075,0.14675647020339966,0.14655843377113342,0.6199698448181152,-0.2799551784992218
12,0.6310160427807486,0.1578303873538971,0.11997073888778687,0.3400614857673645,-0.05391435697674751
13,0.6310160427807487,0.1456536054611206,0.07816619426012039,0.3424076437950134,-0.2569653391838074
14,0.6310160427807486,0.13391253352165222,0.0917840227484703,0.34442126750946045,-0.08665234595537186
15,0.8716577540106952,0.10610314458608627,0.08579077571630478,0.5844059586524963,0.09420400857925415
16,0.8877005347593583,0.11129970103502274,0.0037819070275872946,0.6071168780326843,-0.4067525565624237
