layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5026737967914439,0.0,0.0,0.3200392723083496,-0.4053631126880646
1,0.6417112299465241,0.2920032739639282,-0.11203884333372116,0.7133131623268127,-0.3478919267654419
2,0.53475935828877,0.20567958056926727,0.028322331607341766,0.5710325837135315,-0.32019340991973877
3,0.6149732620320856,0.2917122542858124,0.01655428670346737,0.7114083170890808,-0.3072131872177124
4,0.6898395721925134,0.28519928455352783,0.0,0.6276595592498779,-0.25363340973854065
5,0.6898395721925134,0.21170727908611298,0.010640653781592846,0.5319628119468689,-0.2401866614818573
6,0.679144385026738,0.1882239431142807,0.005321193020790815,0.5534000396728516,-0.25199949741363525
7,0.679144385026738,0.18705414235591888,-0.010638297535479069,0.521276593208313,-0.23787294328212738
8,0.6951871657754011,0.19604231417179108,0.01595744676887989,0.5957446694374084,-0.3147434592247009
9,0.6203208556149733,0.24150407314300537,0.005319148767739534,0.40425533056259155,-0.2614312469959259
10,0.6149732620320856,0.32237666845321655,0.0,0.39361703395843506,-0.2665158212184906
11,0.625668449197861,0.3170023560523987,-0.021276595070958138,0.3723404109477997,-0.2955494523048401
12,0.6096256684491979,0.2774033546447754,-0.010638297535479069,0.38297873735427856,-0.2807157039642334
13,0.6203208556149733,0.2783505916595459,-0.010638297535479069,0.40425533056259155,-0.3116546869277954
14,0.6363636363636364,0.24411973357200623,-0.010638297535479069,0.40425533056259155,-0.28992411494255066
15,0.6096256684491979,0.22174274921417236,-0.010638297535479069,0.43617022037506104,-0.2923359274864197
16,0.7754010695187166,0.20523367822170258,0.0,0.41489362716674805,-0.14238892495632172
17,0.8449197860962567,0.19045747816562653,0.0,0.521276593208313,-0.1493815928697586
18,0.8288770053475936,0.18269449472427368,-0.010638297535479069,0.46760550141334534,-0.09135941416025162
19,0.7914438502673797,0.17295266687870026,-0.010638297535479069,0.48935869336128235,-0.06896144896745682
20,0.8181818181818181,0.17130988836288452,-0.021276595070958138,0.5106382966041565,-0.07408518344163895
21,0.8021390374331551,0.17964234948158264,0.0,0.521276593208313,-0.031583335250616074
22,0.7967914438502673,0.17894844710826874,-0.010638297535479069,0.542553186416626,-0.08083213865756989
23,0.7967914438502673,0.17486438155174255,0.0,0.5106382966041565,-0.09003199636936188
24,0.8021390374331551,0.18082593381404877,0.0,0.521276593208313,-0.07173942029476166
25,0.8021390374331551,0.18164804577827454,-0.016431422904133797,0.542553186416626,-0.09073670208454132
26,0.8128342245989305,0.19100895524024963,0.03363187611103058,0.57511967420578,-0.36206796765327454
