layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5026737967914439,0.0,0.0,0.3200392723083496,-0.4053631126880646
1,0.6149732620320856,0.27060359716415405,-0.2534502446651459,0.6821362972259521,-0.35792869329452515
2,0.5828877005347594,0.20080676674842834,0.023698916658759117,0.6206008195877075,-0.27472320199012756
3,0.6844919786096257,0.21381627023220062,0.020446492359042168,0.7012685537338257,-0.30255329608917236
4,0.6844919786096257,0.2647347152233124,0.0081845847889781,0.585405170917511,-0.33167198300361633
5,0.6149732620320856,0.12045542895793915,0.005319245159626007,0.38297802209854126,-0.2106846570968628
6,0.6042780748663101,0.103601835668087,0.014541089534759521,0.39209121465682983,-0.22142617404460907
7,0.5561497326203209,0.16947001218795776,0.0,0.4362310767173767,-0.2793945074081421
8,0.6149732620320856,0.15734244883060455,-0.010595664381980896,0.3404255211353302,-0.11147772520780563
9,0.6203208556149733,0.1598394513130188,0.005319148767739534,0.39361703395843506,-0.11129490286111832
10,0.6203208556149733,0.13487966358661652,0.0,0.3723404109477997,-0.40517136454582214
11,0.6149732620320856,0.14855873584747314,0.00019997493654955178,0.3297872245311737,-0.05483913794159889
12,0.6203208556149733,0.13578251004219055,0.005319148767739534,0.3404316306114197,-0.11055419594049454
13,0.9197860962566845,0.16095049679279327,-0.01595744676887989,0.4893617033958435,-0.21554864943027496
14,0.9358288770053476,0.15469563007354736,-0.042553190141916275,0.585106372833252,-0.24659274518489838
15,0.9304812834224598,0.14566239714622498,-0.058510638773441315,0.478723406791687,-0.22718830406665802
16,0.9251336898395722,0.148416206240654,-0.04787234216928482,0.563829779624939,-0.25242823362350464
17,0.9197860962566845,0.15871699154376984,-0.03191489353775978,0.4893617033958435,-0.21654225885868073
18,0.9304812834224598,0.16991093754768372,-0.05319149047136307,0.6382978558540344,-0.24980475008487701
19,0.9304812834224598,0.15079638361930847,-0.05319149047136307,0.5744680762290955,-0.24510441720485687
20,0.9197860962566845,0.15241055190563202,-0.05319149047136307,0.5957446694374084,-0.26875248551368713
21,0.9197860962566845,0.143057182431221,-0.07446808367967606,0.4893617033958435,-0.24107998609542847
22,0.9304812834224598,0.14116916060447693,-0.03191489353775978,0.585106372833252,-0.2085437923669815
23,0.9251336898395722,0.14186929166316986,-0.042553190141916275,0.5319148898124695,-0.2525610625743866
24,0.9197860962566845,0.14336171746253967,-0.06382978707551956,0.6595744490623474,-0.21213951706886292
25,0.9144385026737968,0.13903024792671204,-0.03191489353775978,0.7021276354789734,-0.23117832839488983
26,0.9090909090909091,0.1418178826570511,-0.035674694925546646,0.5943440794944763,-0.16431576013565063
