layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5026737967914439,0.0,0.0,0.32003432512283325,-0.405375599861145
1,0.6310160427807486,0.16557277739048004,0.331759512424469,0.7084248065948486,-0.28497233986854553
2,0.5080213903743316,0.1365496814250946,0.29596707224845886,0.757286548614502,-0.20957021415233612
3,0.5347593582887701,0.14133624732494354,0.09521542489528656,0.7569097876548767,-0.18968483805656433
4,0.5080213903743316,0.1433717906475067,0.03252733498811722,0.6977363228797913,-0.2185210883617401
5,0.6951871657754011,0.1807706356048584,0.1883832812309265,0.6362920999526978,-0.1957797408103943
6,0.6898395721925134,0.18004195392131805,0.07895082235336304,0.6865398287773132,-0.4178982079029083
7,0.6737967914438503,0.20976203680038452,0.052431173622608185,0.6748380064964294,-0.44340234994888306
8,0.5080213903743316,0.18619586527347565,0.03171059116721153,0.372050940990448,-0.0888127014040947
9,0.6149732620320856,0.14436517655849457,0.050493914633989334,0.34911611676216125,0.04756801947951317
10,0.6096256684491979,0.11369379609823227,0.049125783145427704,0.4454396367073059,-0.234283447265625
11,0.6363636363636364,0.18977107107639313,0.0747416764497757,0.509894073009491,-0.4040695130825043
12,0.6256684491978609,0.11510567367076874,0.05773623287677765,0.3949531018733978,-0.12235423922538757
13,0.7112299465240641,0.1304139345884323,0.016378162428736687,0.5673344135284424,-0.36468544602394104
14,0.6310160427807487,0.16809843480587006,0.03527975454926491,0.372010737657547,-0.6198795437812805
15,0.6363636363636364,0.1710706353187561,0.017551833763718605,0.3735373616218567,-0.7807863354682922
16,0.6470588235294117,0.16043491661548615,0.02433139644563198,0.3630337119102478,-0.7718933820724487
17,0.9197860962566845,0.17520540952682495,0.06497486680746078,0.5275529026985168,-0.08423051983118057
18,0.9251336898395722,0.20680199563503265,0.009262625128030777,0.5784814357757568,-0.14384427666664124
19,0.9304812834224598,0.22302952408790588,0.02475486695766449,0.5189228057861328,-0.05812041833996773
20,0.946524064171123,0.26590412855148315,0.0180082805454731,0.577418863773346,-0.28644293546676636
21,0.9572192513368984,0.28989601135253906,-0.010229646228253841,0.38273149728775024,-0.025958439335227013
22,0.9518716577540107,0.31936097145080566,0.04362127557396889,0.45471516251564026,0.09473228454589844
23,0.9518716577540107,0.29507413506507874,0.017017818987369537,0.4158417582511902,-0.03302176669239998
24,0.9572192513368984,0.272039532661438,0.00934535637497902,0.48121950030326843,-0.05446464568376541
25,0.9572192513368984,0.25459912419319153,0.03393903747200966,0.4924558997154236,-0.30236050486564636
26,0.9572192513368984,0.24661071598529816,0.022703487426042557,0.4989902079105377,-0.08106471598148346
27,0.9572192513368984,0.23803289234638214,-0.007412286940962076,0.48844167590141296,-0.2404201328754425
28,0.9518716577540107,0.23545347154140472,-0.014473038725554943,0.5026867389678955,-0.15228895843029022
29,0.9518716577540107,0.2204013168811798,-0.010670633055269718,0.5106188058853149,-0.2357034683227539
30,0.9518716577540107,0.20446303486824036,-0.03418460115790367,0.5090201497077942,-0.2092902660369873
31,0.9518716577540107,0.19977818429470062,-0.0015671063447371125,0.4770393371582031,-0.2471895068883896
32,0.9518716577540107,0.1933404505252838,0.0002725783851929009,0.5381425023078918,-0.18472249805927277
33,0.9518716577540107,0.1938720941543579,-0.04196269437670708,0.372822105884552,-0.19054579734802246
34,0.9518716577540107,0.19217780232429504,-0.03191579133272171,0.3723413050174713,-0.20063553750514984
35,0.9304812834224598,0.19172236323356628,-0.0426572822034359,0.38287094235420227,-0.21531051397323608
36,0.9518716577540107,0.22372299432754517,-0.053172919899225235,0.5199720859527588,-0.22272785007953644
